set,id,phrase,clue,franchise,tags,rating,attribution
core,45,Tardigrade,"Also called ""water bears"", these near-microscopic animals can survive vacuum!",,Nature,G,Michael B.
core,46,Duff Beer,A fictional beer favored by Homer Simpson. Can't get enough of that wonderful _____.,,"TV, Food",PG-13,Michael B.
core,47,do the robot,Swing your arms with elbows bent at right angles and dance like it's 1988.,,"Dance, Culture",G,Michael B.
core,48,Just Do It,The long-lived slogan of athletic apparel company Nike.,,"Companies, Slogans",G,Michael B.
core,49,LARPing,"Gather friends and pretend to be characters in a fantastical or historical setting. It's like playing Dungeons and Dragons, only more so.",,,G,Michael B.
core,50,Cylons,"""Toasters"" pejoratively, these intelligent machines overthrow humanity in Battlestar Galactica.",,,PG,Michael B.
core,51,My Favorite Murder,"A true crime comedy podcast, featuring two cases an episode told with humor and advice. ",,Podcasts,PG,
core,52,badonkadonk,A slang term for a particularly full or large butt.,,"Slang, Language",PG-13,
core,53,E=mc^2,"Albert Einstein's theory of general relativity, in equation form.",,Science,G,Michael B.
core,54,Skittles,"Small colorful sugary candies with a slogan of ""Taste the Rainbow.""",,"Food, Companies",G,Michael B.
core,55,pterodactyl,"It's a bird! It's a plane! Oh no, it's a flying dinosaur. Run!",,"Science, Animals",G,Michael B.
core,56,whoopie cushion,"Prank assistant, put it on someone's chair and giggle at the fart noise.",,Toys,PG,Michael B.
core,57,plutonium,Radioactive element enriched for nuclear energy and weapon purposes.,,Science,G,Michael B.
core,58,The Nutcracker Suite,Tchaikovsky's famous ballet often performed at wintertime.,,"Art, Music",G,Michael B.
core,59,manticore,"A mythical beast typically depicted as having the body of a lion, the face of a man, and the sting of a scorpion.",,Mythology,G,Michael B.
core,60,Mandalorian,"A group of bounty hunters in the Star Wars universe, of whom Boba Fett is the most famous.",Star Wars,"Sci-Fi, Movies, TV",PG,Michael B.
core,61,Comic Sans,"An infamous font created by Microsoft, now used mostly ironically.",,"Computers, Fonts",G,Michael B.
core,62,dodecahedron,"Geometric term for a 20-sided polygon, or another term for a d20.",,Math,G,Michael B.
core,63,Flamin' Hot Cheetos,Cheesy crunchy junk food with lots of added spice!,,Food,G,Michael B.
core,64,Mister Spock,Star Trek's Bad Ass Vulcan,Star Trek,TV,PG-13,Franklin Wu
core,65,Frank Lloyd Wright,America's Premier 20th Century Architect,,Famous People,G,Franklin Wu
core,66,RMS Titanic,Lost badly in contest against iceberg,,History,G,Franklin Wu
core,67,Fender Stratocaster,Electric guitar model favored by rock musicians,,Music,G,Franklin Wu
core,68,Pusheen,A female cartoon cat used in online comic strips and sticker packs.,,"Internet, Characters",G,Michael B.
core,69,Gudetama,"A Sanrio (of Hello Kitty fame) character, this sentient egg is very lazy.",,"Characters, Internet",G,Michael B.
core,70,Jolly Roger,"Another name for the ""skull and crossbones"" flag flown by pirate ships.",,Trivia,G,Michael B.
core,71,Xenomorph,"The more ""scientific"" name for the terrifying creatures from the ""Alien"" movies.",Alien,"Sci-Fi, Horror, Movies",PG-13,Michael B.
core,72,Ellen Ripley,"Sigourney Weaver played this flamethrower-toting protagonist of the ""Alien"" movies.",Alien,"Sci-Fi, Horror, Movies",PG-13,Michael B.
core,73,Sonic Screwdriver,This helpful tool is a time lord's best friend and seems to do...a little bit of everything? Someone call The Doctor!,Doctor Who,"Sci-Fi, TV",G,Michael B.
core,74,90 Day Fiance,TLC reality show following couples aiming to get married before a K-1 visa expires.,,"TV, Reality TV",G,Michael B.
core,75,Let It Go,"Frozen's iconic song about embracing oneself, sung by Idina Menzel.",Frozen,"Disney, Movies, Music",G,Michael B.
core,76,honey badger,"This fierce mustelid native to Africa and parts of Asia was famously narrated as ""not giving a s**t"" by Randall in a YouTube video.",,Nature,G,Michael B.
core,77,sleeves,A colloquial term for tattoos that cover the entirety of a person's arms.,,"Culture, Language",PG,Michael B.
core,78,faux pas,An embarrassing or tactless remark or behavior in a social situation. Of French origin.,,Language,G,Michael B.
core,79,Elphaba,"The ""real name"" of the Wicked Witch of the West from The Wizard of Oz, according to musical ""Wicked.""",,"Musicals, Fantasy",G,Michael B.
core,80,Monstars,"The rival team battling Michael Jordan and the Toon Squad in 1996's ""Space Jam.""",,"Sports, Movies, 1990s",G,Michael B.
core,81,Ziggy Stardust,Omnisexual alien rock star and alter ego of the immortal David Bowie.,,Music,PG,Michael B.
core,82,Hans Gruber,"Alan Rickman played this iconic villain opposite Bruce Willis in ""Die Hard.""",Die Hard,"Movies, Action, 1980s",PG,Michael B.
core,83,Nobody puts Baby in a corner.,"A nonsensical yet somehow immortal line spoken by Patrick Swayze in ""Dirty Dancing.""",,"Movies, Music, 1980s",G,Michael B.
core,84,Frank Abagnale,"The real life con artist who inspired the movie ""Catch Me if You Can.""",,"History, Movies, People",G,Michael B.
core,85,Dr. Manhattan,This bright blue nearly-omnipotent character is a central figure in the Watchmen universe.,Watchmen,"Comics, Movies",PG-13,Michael B.
core,86,Cobra Kai,"The ""villainous"" dojo with questionable ethics from Karate Kid. ""Sweep the leg!""",,"Movies, 1980s",G,Michael B.
core,87,double rainbow,"A rare atmospheric phenomenon captured with awe in a video by Paul ""Bear"" Vasquez. ""So intense!""",,"Memes, Internet, Nature",G,Michael B.
core,88,Play-Doh,A brightly colored modeling putty for kids that comes in bright yellow plastic tubs.,,"Toys, Kids",G,Michael B.
core,89,Planet Express,The name of the delivery company for which the main characters of Futurama work.,Futurama,"TV, Sci-Fi",G,Michael B.
core,90,Beanie Babies,"Created by Ty Warner, these plush toys saw a speculative collectors' frenzy in the 1990s.",,"Toys, Kids",G,Michael B.
core,91,Protoss,An advanced alien civilization from Aiur and one of three playable races from Blizzard's StarCraft series.,StarCraft,"Video Games, Blizzard",PG,Michael B.
core,92,Freddy Krueger,"Dream-haunting monster from the ""Nightmare on Elm Street"" movies. Don't fall asleep!",,"Horror, Characters",PG-13,Michael B.
core,93,Large Hadron Collider,"The largest particle accelerator on the planet, operated by CERN in Geneva, Switzerland.",,Science,G,Michael B.
core,94,Yeti,"Also called the ""Abominable Snowman,"" this mythical creature is said to inhabit the Himalayan mountains.",,"Cryptids, Nature, Mythology",G,Michael B.
core,95,Dramatic Chipmunk,"A prairie dog in actuality, this viral video features the animal turning suddenly to a swelling orchestra. ""Dun dun dunnnnn!""",,"Memes, Internet",G,Michael B.
core,96,thumb war,"A game where you clasp hands and try to ""capture"" the other's digit. ""1, 2, 3, 4, I declare a...""",,"Culture, Kids",G,Michael B.
core,97,Agatha Christie,"Prolific English author of detective stories including ""Murder on the Orient Express.""",,"People, Literature",G,Michael B.
core,98,Maui,One of the Hawaiian islands as well as a mythical demigod featured in the movie Moana.,,"History, Mythology, Movies, Disney",G,Michael B.
core,99,Pavlov's Dog,"Experiment demonstrating classical conditioning in which a canine was trained to salivate when a bell rang, anticipating food.",,Science,G,Michael B.
core,100,subtweeting,"On Twitter, the act of referring to a specific person or situation (usually negatively) indirectly and vaguely.",,"Internet, Culture",G,Michael B.
core,101,Pillsbury Dough Boy,"Baked goods mascot known for going ""Hoo hoo!"" when his belly is poked.",,"Characters, Mascots, Companies",G,Michael B.
core,102,CRISPR,A technique that uses an enzyme targeting a specific DNA sequence to enable powerful gene editing.,,Science,G,Michael B.
core,103,Is that your final answer?,"Catchphrase from the game show ""Who Wants to be a Millionaire?""",,"TV, Catchphrases",G,Michael B.
core,104,Arkham Asylum,The criminal psychiatric facility that lodges many of Batman's foes (when they haven't escaped).,Batman,"Comics, Movies, Places",PG,Michael B.
core,105,selfie stick,"This extendable phone accessory can assist with front-facing camera shots, but is loathed by some.",,"Culture, Tech",G,Michael B.
core,106,pinky swear,A way to signal the force of a truthful statement by interlocking little fingers with someone.,,"Culture, Kids, Language",G,Michael B.
core,107,Diagon Alley,Pick up your wizarding supplies at this shopping district found behind the Leaky Cauldron in London.,Harry Potter,"Literature, Movies, Fantasy, Places",PG,Michael B.
core,108,Morpheus,"Part of the human resistance fighting the machines in ""The Matrix,"" he introduces Neo to the real world.",The Matrix,"Sci-Fi, Movies, Characters",PG,Michael B.
core,109,Pangaea,Hundreds of millions of years ago all land on Earth was part of this supercontinent.,,Science,G,Michael B.
